_region,Gabra1,Gabra2,Gabra3,Gabrb1,Gabrb2,Gabrg2,Htr1a,Htr2a,Htr2c,Htr7,Drd1,Drd2,Drd3,Drd4,Oprk1,Oprm1,Oprd1,Grin1,Grin2a,Grin2b,Gria1,Gria2,Adra2a,Adra2c,Chrna4,Chrnb2
cb,78.588,11.334,14.064,24.653,86.893,61.413,0.322,0.655,3.007,3.304,0.588,1.61,0.066,1.455,2.948,24.559,0.742,87.169,72.069,32.454,5.898,92.391,1.216,4.954,2.36,19.813
ctxsp,46.402,67.557,47.345,78.729,47.548,42.774,9.732,21.532,28.566,9.09,20.757,7.202,2.423,0.166,10.03,31.969,8.947,50.199,45.486,70.645,60.564,83.809,20.111,21.496,21.265,22.257
hpf,51.239,66.382,34.969,76.36,49.413,47.205,14.79,13.462,17.892,13.158,5.386,1.645,0.218,0.182,1.272,18.802,9.569,54.579,57.26,71.087,67.656,82.748,14.001,22.264,17.991,22.694
hy,58.093,64.957,56.8,78.75,55.507,59.623,8.791,18.065,37.738,32.065,5.662,10.235,4.342,0.087,19.923,37.94,6.705,62.974,49.229,68.616,75.739,81.675,20.311,13.223,13.809,33.818
isocortex,72.072,71.565,58.241,82.898,67.782,66.679,10.704,34.047,14.378,15.803,10.968,1.61,0.086,0.502,4.511,37.024,18.172,72.879,72.605,79.774,74.568,88.217,12.757,22.906,24.668,25.836
mb,53.317,52.938,47.973,70.101,49.718,51.129,8.636,11.388,42.382,21.243,4.552,13.469,1.51,0.142,12.003,31.728,3.567,54.602,46.446,60.696,66.562,75.255,16.934,10.305,23.377,26.299
my,37.558,35.055,34.513,46.283,34.821,40.614,4.525,7.479,28.164,16.132,1.138,8.276,0.536,0.183,7.532,22.786,4.799,47.337,35.005,43.423,37.882,64.684,12.897,9.339,11.72,17.69
olf,35.541,75.254,37.0,60.653,38.202,56.376,3.669,15.749,17.607,10.349,4.647,1.144,0.714,0.132,2.234,38.145,14.923,70.53,61.631,82.048,76.889,88.555,10.997,11.665,6.32,16.281
p,30.477,38.175,27.872,52.092,28.542,29.011,4.607,9.397,24.542,12.124,2.472,6.141,0.876,0.092,8.19,16.684,3.792,33.211,26.347,38.263,39.751,57.779,16.264,6.948,13.789,16.559
pal,50.269,61.851,45.587,70.211,51.43,50.645,7.618,14.792,39.498,16.873,19.64,11.899,14.74,0.111,16.83,33.059,7.001,56.774,48.33,65.138,70.132,79.71,10.346,21.186,9.606,21.18
str,59.517,75.596,45.739,83.307,62.164,60.514,8.235,18.161,50.823,19.641,25.012,20.776,11.83,0.102,19.175,35.226,12.822,68.443,61.388,79.069,79.428,89.437,13.897,27.686,8.864,25.793
th,55.518,53.268,42.212,69.21,53.547,53.122,1.747,5.116,34.715,37.383,5.678,13.321,4.414,0.872,13.233,30.242,1.356,59.624,53.629,64.374,62.367,75.141,7.319,6.198,40.383,41.475
